book_id,position,token_length,char_length,genre,author,title,source_file
1e9361fe-1312-4422-846a-8c7e889b3577,7431,578,2306,,Unknown,"Джонс Дж. Отныне и вовек, 1986",1e9361fe-1312-4422-846a-8c7e889b3577.jsonl
1e9361fe-1312-4422-846a-8c7e889b3577,22042,517,2288,,Unknown,"Джонс Дж. Отныне и вовек, 1986",1e9361fe-1312-4422-846a-8c7e889b3577.jsonl
eecc8854-930d-47d8-9eb3-db7d845cde3c,20169,594,1303,,Unknown,"История Великой Отечественной войны Советского Союза 1941—1945 гг, Том 06",eecc8854-930d-47d8-9eb3-db7d845cde3c.jsonl
0dd9946d-1a86-4e99-8f7c-aa32b1833b2d,46178,664,1117,,Unknown,"Николай II Дневники императора Николая II (1894—1918), 2011",0dd9946d-1a86-4e99-8f7c-aa32b1833b2d.jsonl
0dd9946d-1a86-4e99-8f7c-aa32b1833b2d,47878,829,1807,,Unknown,"Николай II Дневники императора Николая II (1894—1918), 2011",0dd9946d-1a86-4e99-8f7c-aa32b1833b2d.jsonl
0dd9946d-1a86-4e99-8f7c-aa32b1833b2d,48396,635,1218,,Unknown,"Николай II Дневники императора Николая II (1894—1918), 2011",0dd9946d-1a86-4e99-8f7c-aa32b1833b2d.jsonl
0dd9946d-1a86-4e99-8f7c-aa32b1833b2d,48432,671,1358,,Unknown,"Николай II Дневники императора Николая II (1894—1918), 2011",0dd9946d-1a86-4e99-8f7c-aa32b1833b2d.jsonl
f4e6397e-268a-402f-817b-42072f501c4d,7258,1392,6003,,Unknown,"Мартынов А.Г. История 12-го Драгунского Стародубского полка, 1908",f4e6397e-268a-402f-817b-42072f501c4d.jsonl
7ce489cb-21e8-4a1f-aa38-c0ae8f2bb10a,13822,637,2027,,Unknown,Военная энциклопедия под ред. В. Ф. Новицкого и др. 1911—1915. Том 11,7ce489cb-21e8-4a1f-aa38-c0ae8f2bb10a.jsonl
a6851f93-a0fb-4dbf-8581-b923bc91f789,350,549,2074,,Unknown,"Волынский Н.П. История Лейб-гвардии Кирасирского Его Величества полка. 1701-1901, 1902",a6851f93-a0fb-4dbf-8581-b923bc91f789.jsonl
a6851f93-a0fb-4dbf-8581-b923bc91f789,3764,708,3188,,Unknown,"Волынский Н.П. История Лейб-гвардии Кирасирского Его Величества полка. 1701-1901, 1902",a6851f93-a0fb-4dbf-8581-b923bc91f789.jsonl
d0770067-903c-4252-9483-906c55b957db,30407,525,1411,,Советская военная энциклопедия.,"М. Воениздат, 1976-1980. — Том 4",d0770067-903c-4252-9483-906c55b957db.jsonl
2226c561-bc0c-4f0e-ac55-0f5e0cb0066d,2465,643,3359,,Unknown,Королев В.О. Гвардейцы первой штурмовой,2226c561-bc0c-4f0e-ac55-0f5e0cb0066d.jsonl
